Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Gilgit-Baltistan,Pakistan,"2020-06-11 03:33:41",35.792146,74.982138,974,14,616,344,"Gilgit-Baltistan, Pakistan",96.09465027072251,1.4373716632443532
Islamabad,Pakistan,"2020-06-11 03:33:41",33.665087,73.121219,5963,57,843,5063,"Islamabad, Pakistan",297.17348791869915,0.955894683883951
"Khyber Pakhtunkhwa",Pakistan,"2020-06-11 03:33:41",34.485332,72.09169,14527,610,3631,10286,"Khyber Pakhtunkhwa, Pakistan",47.59303944508619,4.199077579679218
Punjab,Pakistan,"2020-06-11 03:33:41",30.811346,72.13913199999998,43460,807,8643,34010,"Punjab, Pakistan",39.5046225771445,1.8568798895536125
Sindh,Pakistan,"2020-06-11 03:33:41",26.009446,68.77680699999999,41303,696,19896,20711,"Sindh, Pakistan",86.25267512662508,1.6851076193012615
"Azad Jammu and Kashmir",Pakistan,"2020-06-12 05:09:52",34.027401,73.947253,534,10,237,287,"Azad Jammu and Kashmir, Pakistan",13.20028892317778,1.8726591760299625
Balochistan,Pakistan,"2020-06-12 05:09:52",28.328492,65.898403,7673,75,2673,4925,"Balochistan, Pakistan",62.15769925945416,0.9774534080542161
Gilgit-Baltistan,Pakistan,"2020-06-12 05:09:52",35.792146,74.982138,1030,15,673,342,"Gilgit-Baltistan, Pakistan",101.61959936226302,1.4563106796116505
Islamabad,Pakistan,"2020-06-12 05:09:52",33.665087,73.121219,6699,65,1164,5470,"Islamabad, Pakistan",333.8529591761472,0.9702940737423495
"Khyber Pakhtunkhwa",Pakistan,"2020-06-12 05:09:52",34.485332,72.09169,15787,632,3907,11248,"Khyber Pakhtunkhwa, Pakistan",51.721023867252406,4.003293849369735
Punjab,Pakistan,"2020-06-12 05:09:52",30.811346,72.13913199999998,47382,890,9546,36946,"Punjab, Pakistan",43.06967388288681,1.8783504284327381
